archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,pai,fhd_normal,cover,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967088,-42.687608,-71.563024,290031.2,5270689.7,1399.3713,1,0,0.95987034,-2.43,-0.56,1.19,3.51,4.41,15.83,0.014267489,1.0272925,0.0071083303,0.0,13.120738,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967089,-42.687898,-71.562444,290079.7,5270658.9,1410.2651,1,0,0.9622297,-1.45,0.0,1.45,3.89,5.08,11.40,0.25395238,1.9029416,0.119236715,0.10930048,13.118748,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967090,-42.688186,-71.561869,290127.7,5270628.3,1411.9656,1,0,0.955274,-0.74,1.3,3.92,6.51,7.29,7.52,0.92123395,1.9269495,0.3690141,2.3649821,13.112143,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967091,-42.688474,-71.561299,290175.4,5270597.8,1405.067,1,0,0.9533345,0.22,8.3,12.98,15.9,16.87,5.68,1.5625803,2.6911976,0.5419697,50.580006,13.092524,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967092,-42.688763,-71.560721,290223.7,5270567.1,1411.7952,1,0,0.98291117,2.32,7.07,10.02,12.34,13.09,17.46,2.5278397,2.562146,0.7170353,29.789932,13.100219,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967093,-42.689055,-71.560131,290273.0,5270536.2,1439.9805,1,0,0.96026653,-2.05,-0.14,1.75,4.64,6.06,19.92,0.13682133,2.1914287,0.066120505,0.3806044,13.115173,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967094,-42.689345,-71.559549,290321.7,5270505.4,1453.7461,1,0,0.9549279,-1.9,-0.44,0.82,2.35,2.91,10.70,0.024734478,1.0066893,0.012290991,0.0,13.127152,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967095,-42.689632,-71.558981,290369.2,5270474.9,1443.9703,1,0,0.95237404,0.18,5.94,10.62,13.28,14.03,8.84,1.542725,2.5652213,0.5374062,28.99946,13.096926,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0110,334320600400967096,-42.689922,-71.558404,290417.4,5270444.2,1449.8838,1,0,0.9804487,-0.63,1.64,4.52,7.37,8.3,13.30,0.9462114,2.049989,0.3768399,3.9916356,13.109216,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM1000,334320800400262651,-42.684960,-71.587056,288053.2,5270923.6,833.7378,1,0,0.9610651,-0.89,0.37,2.09,4.75,5.42,11.41,0.45598698,1.6761111,0.20383708,0.33225977,13.117848,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM1000,334320800400262654,-42.685834,-71.585294,288200.6,5270831.0,899.55914,1,0,0.98407686,-2.16,0.48,3.03,5.64,6.39,13.87,0.3004364,1.8189938,0.13946451,0.8952603,13.114499,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM1000,334320800400262655,-42.686123,-71.584719,288248.7,5270800.4,901.6999,1,0,0.9555362,-1.6,-0.14,1.23,3.03,3.7,5.11,0.017667664,1.0395153,0.00879487,0.0,13.124119,DBT_SA,hoja_caida,1
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM1000,334320800400262656,-42.686411,-71.584150,288296.3,5270769.8,895.91534,1,0,0.9564547,-2.13,-0.26,1.57,4.37,5.46,12.07,0.021545151,1.817016,0.0107146725,0.13675585,13.117137,DBT_SA,hoja_caida,1
