archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263226,-42.662776,-71.566982,289623.1,5273437.4,915.4346,1,0,0.9520077,1.6,4.15,6.66,10.25,11.11
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263230,-42.663932,-71.564670,289816.4,5273314.8,950.1134,1,0,0.9733758,1.23,4.07,6.7,10.4,11.64
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263233,-42.664802,-71.562921,289962.8,5273222.5,1008.853,1,0,0.9024501,-2.17,-0.07,2.02,4.9,5.76
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263235,-42.665381,-71.561760,290059.9,5273161.2,1035.5287,1,0,0.952672,-1.31,0.07,1.38,3.18,3.74
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263239,-42.666531,-71.559467,290251.7,5273039.1,1030.8568,1,0,0.9595987,0.63,3.29,6.06,8.57,9.24
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263242,-42.667393,-71.557748,290395.4,5272947.6,1024.2463,1,0,0.9744526,-1.04,0.71,2.73,5.2,5.91
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263243,-42.667680,-71.557177,290443.2,5272917.2,1018.58344,1,0,0.9517813,-0.37,1.45,4.3,7.03,7.71
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263258,-42.672004,-71.548522,291167.0,5272458.4,1119.0507,1,0,0.90050507,-1.83,-0.18,1.45,3.59,4.22
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263262,-42.673152,-71.546233,291358.4,5272336.6,1107.5955,1,0,0.96458644,1.75,12.8,17.18,20.36,21.11
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263263,-42.673439,-71.545665,291405.9,5272306.2,1096.8721,1,0,0.9576475,0.29,8.94,17.36,21.41,22.42
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263270,-42.675452,-71.541645,291742.1,5272092.5,1107.5204,1,0,0.9657059,0.48,2.76,4.97,7.03,7.67
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0010,334320200400263272,-42.676030,-71.540486,291838.9,5272031.2,1130.7953,1,0,0.96663254,10.48,14.44,17.89,23.16,24.36
