archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262803,-42.658587,-71.551978,290838.8,5273939.9,1112.5522,0,0,0.9268154,0.52,3.7,6.58,8.68,9.24,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262804,-42.658876,-71.551401,290887.0,5273909.2,1119.0056,0,0,0.9439953,2.24,5.23,8.27,11.63,12.31,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262805,-42.659168,-71.550818,290935.8,5273878.3,1137.38,0,0,0.9391948,1.27,4.04,8.15,12.76,13.62,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262806,-42.659462,-71.550225,290985.4,5273847.1,1173.49,0,0,0.9477505,2.61,5.91,9.09,12.46,13.2,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262807,-42.659752,-71.549645,291033.9,5273816.3,1184.6963,0,0,0.9391488,0.18,2.2,4.0,6.69,7.55,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262808,-42.660041,-71.549068,291082.2,5273785.6,1191.1049,0,0,0.9744343,-1.49,0.44,2.54,5.12,5.95,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262810,-42.660616,-71.547927,291177.6,5273724.6,1179.4973,1,0,0.87447655,-0.86,1.72,4.64,8.12,8.94,sensibilidad baja: el laser no llego al suelo,sensitivity=0.874 <= 0.90
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262811,-42.660901,-71.547363,291224.7,5273694.3,1160.005,0,0,0.9456986,1.04,5.27,8.27,11.33,12.12,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262813,-42.661475,-71.546225,291320.0,5273633.4,1143.1315,0,0,0.9492559,2.99,6.06,8.53,11.11,11.82,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262816,-42.662331,-71.544533,291461.5,5273542.5,1088.2777,0,0,0.9448453,2.61,12.57,18.07,21.06,21.74,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
