shot_number,lat,lon,rh98,pendiente_grados,predict_stratum,agbd_origen,agbd_L4A_Mg_ha,agbd_CCI2024_Mg_ha
340730200400263066,-42.660187,-71.572479,3.29,5.85,,,,142
340730200400263069,-42.661049,-71.570762,9.94,2.17,DBT_SA,certificada,13.836928,96
340730200400263085,-42.665719,-71.561486,4.03,6.64,DBT_SA,certificada,6.5104585e-05,201
340730300400257954,-42.664333,-71.577767,8.33,5.61,DBT_SA,certificada,4.9717727,207
340730300400257984,-42.673016,-71.560495,5.6,10.19,DBT_SA,hoja_caida,0.31100172,178
340730300400257985,-42.673307,-71.559918,9.79,15.30,DBT_SA,hoja_caida,5.9223137,185
340730300400257986,-42.673601,-71.559333,6.73,15.90,,,,185
340730300400257987,-42.673892,-71.558756,10.02,13.13,DBT_SA,hoja_caida,10.968374,173
340730300400257988,-42.674186,-71.558173,11.07,16.45,DBT_SA,hoja_caida,13.899126,160
340730300400257989,-42.674480,-71.557592,13.57,19.26,DBT_SA,hoja_caida,16.329557,160
340730300400257990,-42.674773,-71.557009,17.01,19.65,DBT_SA,hoja_caida,53.415253,137
340730500400257849,-42.678942,-71.567863,7.17,18.94,DBT_SA,certificada,1.4678469,225
340730500400257850,-42.679235,-71.567278,6.99,19.62,DBT_SA,certificada,1.4131737,167
340730500400257851,-42.679528,-71.566693,6.57,10.93,DBT_SA,certificada,0.7469934,140
340730500400257852,-42.679814,-71.566124,23.02,12.03,DBT_SA,hoja_caida,91.17662,119
340730500400257853,-42.680102,-71.565550,2.76,6.43,DBT_SA,hoja_caida,0.0,71
340730500400257854,-42.680391,-71.564974,8.03,18.27,DBT_SA,hoja_caida,2.539825,0
340730500400257855,-42.680684,-71.564388,21.0,17.88,DBT_SA,hoja_caida,68.75627,0
340730500400257864,-42.683344,-71.559061,21.08,18.23,DBT_SA,certificada,107.198944,136
340730500400257865,-42.683635,-71.558478,19.36,11.79,DBT_SA,certificada,74.64729,158
340730500400257866,-42.683924,-71.557901,15.25,11.13,DBT_SA,certificada,46.48807,186
340730500400257867,-42.684208,-71.557333,20.59,19.06,DBT_SA,certificada,37.08985,121
340730500400257869,-42.684770,-71.556213,24.67,19.90,DBT_SA,certificada,142.63686,120
340730500400257881,-42.688198,-71.549365,18.43,13.64,DBT_SA,certificada,59.936115,205
340730600400970056,-42.684434,-71.570414,27.32,16.43,,,,165
340730600400970069,-42.688265,-71.562748,3.7,11.59,,,,100
340730600400970070,-42.688552,-71.562176,8.89,6.25,DBT_SA,certificada,10.835828,87
340730600400970071,-42.688838,-71.561605,12.3,6.96,DBT_SA,certificada,29.513617,111
340730600400970072,-42.689126,-71.561029,14.46,16.99,DBT_SA,certificada,47.05941,153
340730600400970073,-42.689422,-71.560435,3.7,17.99,DBT_SA,certificada,0.0,141
340730600400970075,-42.689997,-71.559285,15.88,8.44,DBT_SA,certificada,58.696915,186
340730600400970076,-42.690288,-71.558702,4.93,15.33,DBT_SA,certificada,0.144789,200
356600000400197094,-42.570161,-71.443882,3.96,4.34,,,,100
356600000400197102,-42.572476,-71.439298,6.17,15.16,,,,123
356600000400197105,-42.573345,-71.437577,3.44,10.41,,,,107
356600000400197116,-42.576816,-71.430695,3.44,2.35,DBT_SA,certificada,0.0,142
356600000400197149,-42.586357,-71.411791,3.85,9.65,,,,168
356600000400197150,-42.586647,-71.411218,8.79,9.40,DBT_SA,certificada,11.042126,166
356600100400192436,-42.562194,-71.473233,4.68,8.34,ENT_SA,certificada,19.922949,74
356600100400192468,-42.571426,-71.454903,3.66,7.67,,,,52
356600100400192471,-42.572294,-71.453185,5.61,13.89,,,,52
356600100400192480,-42.574892,-71.448035,4.75,11.32,,,,90
356600100400192483,-42.575764,-71.446314,4.19,7.90,,,,162
356600100400192484,-42.576053,-71.445741,4.45,9.55,,,,129
356600100400192485,-42.576343,-71.445169,6.25,9.96,,,,0
356600100400192486,-42.576633,-71.444595,4.34,10.57,,,,0
356600100400192487,-42.576922,-71.444022,5.27,11.30,,,,112
356600100400192489,-42.577503,-71.442875,5.5,19.44,,,,104
356600100400192491,-42.578089,-71.441723,7.86,19.31,,,,104
356600100400192492,-42.578382,-71.441148,9.24,18.99,DBT_SA,certificada,8.4025345,104
356600100400192493,-42.578674,-71.440572,4.94,13.64,DBT_SA,certificada,0.05456369,117
356600100400192496,-42.579544,-71.438851,4.75,6.80,,,,95
356600100400192538,-42.591950,-71.414224,3.33,4.35,,,,142
356600100400192543,-42.593398,-71.411358,11.79,9.48,DBT_SA,certificada,25.40699,156
356600200400197666,-42.567373,-71.472922,4.41,11.55,,,,79
356600200400197717,-42.582099,-71.443695,4.68,8.71,,,,82
356600200400197718,-42.582388,-71.443122,4.6,10.33,,,,122
356600200400197722,-42.583831,-71.440257,3.85,11.96,,,,154
356600200400197723,-42.584119,-71.439684,4.23,10.69,DBT_SA,certificada,0.0059245974,152
356600200400197728,-42.585562,-71.436821,4.53,11.92,DBT_SA,certificada,0.03636222,165
356600200400197729,-42.585851,-71.436248,4.26,10.82,,,,158
356600200400197730,-42.586139,-71.435676,4.45,10.32,DBT_SA,certificada,0.013046523,158
356600200400197745,-42.590486,-71.427078,19.66,11.37,DBT_SA,certificada,92.60119,182
356600200400197748,-42.591353,-71.425359,19.09,13.63,DBT_SA,certificada,99.6042,173
356600200400197750,-42.591931,-71.424212,19.73,15.88,DBT_SA,certificada,84.8866,180
356600200400197751,-42.592220,-71.423639,23.18,13.09,,,,184
356600200400197752,-42.592509,-71.423066,21.04,10.39,,,,173
356600200400197754,-42.593086,-71.421920,21.15,15.52,DBT_SA,certificada,112.9525,188
356600200400197755,-42.593371,-71.421349,19.09,16.77,DBT_SA,certificada,72.1877,188
356600200400197757,-42.593941,-71.420207,15.2,13.86,DBT_SA,certificada,44.996853,155
356600200400197758,-42.594226,-71.419636,19.09,6.08,,,,155
356600200400197760,-42.594799,-71.418492,21.6,15.14,DBT_SA,certificada,90.06617,33
356600200400197761,-42.595085,-71.417920,19.21,17.08,,,,33
356600300400192470,-42.560823,-71.499409,3.93,5.25,ENT_SA,certificada,17.735155,131
356600300400192475,-42.562266,-71.496551,11.34,4.68,ENT_SA,certificada,64.69082,53
