shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
356600100400192486,-42.576633,-71.444595,1007.9342,981.29,21.602,5.04,FUERA_DE_UMBRAL
356600100400192487,-42.576922,-71.444022,1012.2866,989.95,21.604,0.74,PASA
356600100400192489,-42.577503,-71.442875,1027.1697,1008.70,21.608,-3.14,PASA
356600100400192491,-42.578089,-71.441723,1066.302,1047.21,21.612,-2.52,PASA
356600100400192492,-42.578382,-71.441148,1082.8324,1066.30,21.614,-5.08,FUERA_DE_UMBRAL
356600100400192493,-42.578674,-71.440572,1101.5874,1079.31,21.616,0.66,PASA
356600100400192496,-42.579544,-71.438851,1125.7637,1101.99,21.622,2.15,PASA
356600100400192538,-42.591950,-71.414224,1240.9362,1216.34,21.701,2.89,PASA
356600100400192543,-42.593398,-71.411358,1269.4092,1244.14,21.709,3.56,PASA
356600200400197666,-42.567373,-71.472922,906.2698,883.45,21.523,1.29,PASA
356600200400197717,-42.582099,-71.443695,1134.3605,1108.75,21.623,3.98,PASA
356600200400197718,-42.582388,-71.443122,1140.3496,1112.12,21.625,6.61,FUERA_DE_UMBRAL
356600200400197722,-42.583831,-71.440257,1160.5411,1133.62,21.635,5.28,FUERA_DE_UMBRAL
356600200400197723,-42.584119,-71.439684,1164.3977,1139.16,21.637,3.60,PASA
356600200400197728,-42.585562,-71.436821,1175.2623,1147.12,21.646,6.50,FUERA_DE_UMBRAL
356600200400197729,-42.585851,-71.436248,1178.1052,1150.34,21.647,6.12,FUERA_DE_UMBRAL
356600200400197730,-42.586139,-71.435676,1178.195,1152.63,21.649,3.92,PASA
356600200400197745,-42.590486,-71.427078,1275.5518,1261.94,21.675,-8.06,FUERA_DE_UMBRAL
356600200400197748,-42.591353,-71.425359,1290.9391,1274.24,21.681,-4.98,PASA
356600200400197750,-42.591931,-71.424212,1299.4371,1283.78,21.684,-6.03,FUERA_DE_UMBRAL
356600200400197751,-42.592220,-71.423639,1302.7955,1290.17,21.686,-9.06,FUERA_DE_UMBRAL
356600200400197752,-42.592509,-71.423066,1309.7303,1294.10,21.687,-6.05,FUERA_DE_UMBRAL
356600200400197754,-42.593086,-71.421920,1313.5259,1299.22,21.691,-7.38,FUERA_DE_UMBRAL
356600200400197755,-42.593371,-71.421349,1302.619,1288.95,21.693,-8.02,FUERA_DE_UMBRAL
356600200400197757,-42.593941,-71.420207,1282.3993,1260.18,21.696,0.53,PASA
356600200400197758,-42.594226,-71.419636,1270.7643,1252.98,21.698,-3.91,PASA
356600200400197760,-42.594799,-71.418492,1260.3379,1246.92,21.701,-8.28,FUERA_DE_UMBRAL
356600200400197761,-42.595085,-71.417920,1254.2695,1239.53,21.703,-6.96,FUERA_DE_UMBRAL
356600300400192470,-42.560823,-71.499409,795.9413,772.83,21.463,1.65,PASA
356600300400192475,-42.562266,-71.496551,799.2705,775.59,21.472,2.21,PASA
356600300400192485,-42.565153,-71.490836,798.9303,775.99,21.489,1.45,PASA
356600300400192557,-42.585968,-71.449571,1138.095,1112.05,21.625,4.42,PASA
356600300400192560,-42.586832,-71.447853,1147.4795,1120.33,21.630,5.52,FUERA_DE_UMBRAL
356600300400192565,-42.588274,-71.444986,1176.1018,1147.92,21.639,6.54,FUERA_DE_UMBRAL
356600300400192566,-42.588562,-71.444413,1177.9766,1150.89,21.641,5.45,FUERA_DE_UMBRAL
356600300400192571,-42.590006,-71.441547,1205.2826,1193.39,21.650,-9.76,FUERA_DE_UMBRAL
356600300400192573,-42.590584,-71.440400,1219.3402,1203.06,21.654,-5.38,FUERA_DE_UMBRAL
356600300400192575,-42.591161,-71.439255,1223.9739,1210.48,21.657,-8.17,FUERA_DE_UMBRAL
356600300400192578,-42.592026,-71.437537,1229.9397,1217.25,21.662,-8.97,FUERA_DE_UMBRAL
356600300400192579,-42.592315,-71.436964,1232.7717,1218.65,21.664,-7.55,FUERA_DE_UMBRAL
356600300400192584,-42.593761,-71.434099,1255.4446,1247.75,21.673,-13.97,FUERA_DE_UMBRAL
356600300400192587,-42.594629,-71.432381,1265.32,1253.79,21.678,-10.15,FUERA_DE_UMBRAL
356600300400192588,-42.594917,-71.431809,1265.8928,1256.38,21.680,-12.17,FUERA_DE_UMBRAL
356600300400192590,-42.595492,-71.430665,1259.3342,1249.62,21.683,-11.97,FUERA_DE_UMBRAL
356600300400192591,-42.595780,-71.430093,1257.4581,1246.18,21.685,-10.41,FUERA_DE_UMBRAL
356600300400192592,-42.596067,-71.429522,1251.791,1242.22,21.686,-12.12,FUERA_DE_UMBRAL
356600300400192593,-42.596355,-71.428950,1249.1855,1236.89,21.688,-9.39,FUERA_DE_UMBRAL
356600300400192594,-42.596644,-71.428377,1251.7522,1234.70,21.690,-4.64,PASA
356600300400192595,-42.596932,-71.427805,1250.1998,1233.51,21.691,-5.00,FUERA_DE_UMBRAL
356600300400192596,-42.597216,-71.427235,1232.3591,1219.37,21.693,-8.71,FUERA_DE_UMBRAL
