shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
334320600400967053,288229.8,5271824.9,2.13,2.61,0.0448845,0.0918485,1.320599,1.48
334320600400967054,288277.9,5271794.4,2.05,2.58,0.0062188506,0.012476582,1.1573557,2.41
334320600400967055,288325.9,5271763.9,2.24,2.84,0.053298157,0.10954573,1.5211273,5.19
334320600400967056,288374.1,5271733.4,4.0,4.86,0.0434246,0.088793665,1.7281414,9.83
334320600400967057,288422.4,5271702.8,6.47,7.63,0.35219026,0.86857224,2.0151322,10.39
334320600400967058,288470.9,5271672.2,3.96,4.67,0.033694446,0.068551764,1.6430354,14.93
334320600400967059,288519.5,5271641.6,5.01,5.98,0.21547718,0.48543394,1.8826404,12.92
334320600400967060,288567.7,5271611.0,3.51,4.19,0.15575165,0.33865258,1.639416,5.01
334320600400967061,288615.7,5271580.5,6.58,7.55,0.3262931,0.790129,2.0678375,5.21
334320600400967062,288663.8,5271550.0,3.4,4.19,0.13769016,0.29630816,1.6839548,8.25
334320600400967076,289441.6,5271059.5,26.15,27.91,0.86154,3.9643,3.1460185,13.87
334320600400967077,289489.9,5271028.9,20.84,21.81,0.76846975,2.9304326,2.9451191,5.38
334320600400967078,289537.7,5270998.4,24.8,26.3,0.8560962,3.8866205,3.1217132,7.83
334320600400967079,289586.1,5270967.7,26.49,27.24,0.9412084,5.6985884,3.1832838,4.16
334320600400967088,290031.2,5270689.7,3.51,4.41,0.0071083303,0.014267489,1.0272925,15.83
334320600400967089,290079.7,5270658.9,3.89,5.08,0.119236715,0.25395238,1.9029416,11.40
334320600400967090,290127.7,5270628.3,6.51,7.29,0.3690141,0.92123395,1.9269495,7.52
334320600400967091,290175.4,5270597.8,15.9,16.87,0.5419697,1.5625803,2.6911976,5.68
334320600400967092,290223.7,5270567.1,12.34,13.09,0.7170353,2.5278397,2.562146,17.46
334320600400967093,290273.0,5270536.2,4.64,6.06,0.066120505,0.13682133,2.1914287,19.92
334320600400967094,290321.7,5270505.4,2.35,2.91,0.012290991,0.024734478,1.0066893,10.70
334320600400967095,290369.2,5270474.9,13.28,14.03,0.5374062,1.542725,2.5652213,8.84
334320600400967096,290417.4,5270444.2,7.37,8.3,0.3768399,0.9462114,2.049989,13.30
334320800400262636,287338.8,5271381.8,21.8,23.79,0.8317477,3.57409,2.8051064,6.77
334320800400262637,287386.9,5271351.2,25.36,26.44,0.8206993,3.445978,3.1117349,19.83
334320800400262638,287434.0,5271320.8,8.19,9.95,0.4819735,1.3162752,2.1408784,17.83
334320800400262639,287481.3,5271290.3,6.02,7.63,0.09158541,0.1921231,2.3522663,17.96
334320800400262640,287528.6,5271259.9,4.82,6.17,0.015052185,0.030333584,1.9135307,16.68
334320800400262641,287576.0,5271229.4,6.65,7.78,0.432185,1.1325042,1.9555084,5.54
334320800400262642,287624.1,5271198.7,3.29,4.15,0.08959391,0.18774268,1.6167369,6.70
334320800400262643,287671.8,5271168.2,4.0,4.9,0.007410502,0.014876275,0.8701236,15.40
334320800400262645,287766.1,5271107.3,3.44,4.37,0.047816515,0.09799871,1.7792087,15.14
334320800400262646,287813.6,5271076.8,8.52,9.27,0.6207076,1.9408965,2.1252885,4.62
334320800400262647,287861.5,5271046.1,6.77,7.48,0.56762445,1.678344,1.9361907,4.84
334320800400262648,287909.3,5271015.5,5.57,6.77,0.12002986,0.25576016,1.9910715,2.52
334320800400262649,287957.3,5270984.9,8.45,9.38,0.49601808,1.3713261,2.1671016,2.14
