archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,motivo,detalle
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041693,-42.802095,-71.209188,319352.4,5258794.8,1429.2971,1,0,0.9070341,8.14,11.06,13.38,16.63,17.6,20.15,pendiente fuerte: la altura del dosel se sobrestima,pendiente=20.2 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041720,-42.794390,-71.193691,320597.3,5259683.6,1319.073,1,0,0.90188706,-0.14,2.91,5.45,9.19,10.2,23.48,pendiente fuerte: la altura del dosel se sobrestima,pendiente=23.5 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041723,-42.793530,-71.191954,320737.0,5259782.9,1329.0878,1,0,0.9088726,-1.98,-0.03,1.98,5.04,6.01,21.92,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.9 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041736,-42.789808,-71.184445,321340.4,5260212.1,1353.4543,1,0,0.9403493,-1.68,0.67,3.14,6.09,7.17,22.24,pendiente fuerte: la altura del dosel se sobrestima,pendiente=22.2 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041737,-42.789523,-71.183871,321386.5,5260244.9,1350.8713,1,0,0.93800455,-2.31,-0.14,1.98,4.59,5.45,25.95,pendiente fuerte: la altura del dosel se sobrestima,pendiente=26.0 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041761,-42.782668,-71.170068,322495.9,5261035.3,1322.4082,1,0,0.90270627,-1.6,-0.03,1.49,3.51,4.14,20.69,pendiente fuerte: la altura del dosel se sobrestima,pendiente=20.7 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041764,-42.781816,-71.168358,322633.3,5261133.6,1295.8904,1,0,0.9027378,-1.6,0.0,1.68,4.33,5.12,21.91,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.9 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041808,-42.768952,-71.142459,324715.6,5262616.3,1252.623,1,0,0.91341466,-2.01,0.0,1.94,4.14,4.89,21.40,pendiente fuerte: la altura del dosel se sobrestima,pendiente=21.4 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041810,-42.768383,-71.141320,324807.1,5262681.9,1233.3805,1,0,0.9157638,-2.05,-0.07,1.98,5.15,5.98,26.25,pendiente fuerte: la altura del dosel se sobrestima,pendiente=26.2 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041828,-42.763277,-71.131119,325627.5,5263269.9,997.50073,1,0,0.91409576,-2.87,-0.59,1.34,3.77,4.52,22.47,pendiente fuerte: la altura del dosel se sobrestima,pendiente=22.5 > 20 grados
GEDI02_A_2025026122031_O34688_01_T00318_02_004_02_V003.h5,BEAM0011,346880300100041841,-42.759519,-71.123513,326239.3,5263703.0,1158.464,1,0,0.9087106,-2.95,-0.56,1.79,4.71,5.71,26.50,pendiente fuerte: la altura del dosel se sobrestima,pendiente=26.5 > 20 grados
