shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
356600800400197991,-42.813754,-71.044663,841.00116,818.79,21.187,1.02,PASA
356600800400197992,-42.814040,-71.044087,841.7281,818.91,21.186,1.64,PASA
356600800400197993,-42.814325,-71.043510,841.3709,818.77,21.184,1.42,PASA
356600800400197994,-42.814610,-71.042934,839.6628,817.90,21.183,0.58,PASA
356600800400197995,-42.814895,-71.042359,835.658,814.28,21.181,0.20,PASA
356600800400197996,-42.815180,-71.041784,832.21844,810.68,21.180,0.36,PASA
356600800400197997,-42.815465,-71.041208,829.1722,807.28,21.179,0.71,PASA
356600800400197998,-42.815750,-71.040633,825.8654,803.80,21.178,0.88,PASA
356600800400197999,-42.816033,-71.040060,814.3757,793.37,21.177,-0.17,PASA
356600800400198000,-42.816315,-71.039488,801.803,781.43,21.176,-0.80,PASA
356600800400198001,-42.816599,-71.038914,793.315,771.99,21.175,0.15,PASA
356600800400198002,-42.816883,-71.038339,787.7485,765.52,21.174,1.06,PASA
356600800400198003,-42.817168,-71.037764,784.10425,761.85,21.173,1.08,PASA
