sitio,shot,este,norte,rh95,cover,pai,NDVI,EVI,NDMI,NBR
Estepa,356600800400197921,329486.7,5259980.5,2.09,0.024283959,0.049167734,0.22000350058078766,0.10888934880495071,-0.24801023304462433,-0.18463724851608276
Estepa,356600800400197922,329534.6,5259949.9,3.07,0.06888074,0.14273909,0.1769355684518814,0.0908915102481842,-0.22399526834487915,-0.1638825386762619
Estepa,356600800400197923,329582.5,5259919.3,3.36,0.1289538,0.276133,0.16690273582935333,0.08525664359331131,-0.2281104177236557,-0.17848636209964752
Estepa,356600800400197924,329630.4,5259888.7,3.07,0.019774737,0.039945997,0.16688519716262817,0.08672991394996643,-0.21353809535503387,-0.16342099010944366
Estepa,356600800400197925,329678.3,5259858.1,2.65,0.045681745,0.09351751,0.16030551493167877,0.08462214469909668,-0.20823481678962708,-0.15803076326847076
Estepa,356600800400197926,329726.1,5259827.6,2.69,0.017882189,0.03608822,0.15760773420333862,0.08209443092346191,-0.20621013641357422,-0.15931206941604614
Estepa,356600800400197927,329773.8,5259797.1,2.88,0.055241343,0.11365361,0.1565517783164978,0.07829103618860245,-0.23419520258903503,-0.18523599207401276
Estepa,356600800400197928,329821.6,5259766.6,2.47,0.029355649,0.059590857,0.15732520818710327,0.07904071360826492,-0.21428833901882172,-0.17569205164909363
Estepa,356600800400197929,329869.5,5259736.0,2.92,0.02492046,0.050472863,0.15564948320388794,0.07700226455926895,-0.2185281664133072,-0.17670167982578278
Estepa,356600800400197930,329917.3,5259705.5,2.99,0.065697104,0.13591215,0.16368795931339264,0.07987026125192642,-0.21960386633872986,-0.17682196199893951
Estepa,356600800400197931,329965.2,5259674.9,2.5,0.041515894,0.084805734,0.16940587759017944,0.0857994481921196,-0.2164323925971985,-0.16857534646987915
Estepa,356600800400197932,330013.0,5259644.4,2.32,0.04421691,0.09044986,0.19889087975025177,0.09429527819156647,-0.26699358224868774,-0.21738269925117493
Estepa,356600800400197933,330060.8,5259613.9,2.69,0.018917333,0.038197342,0.16617241501808167,0.08690652251243591,-0.2244437336921692,-0.1916307955980301
Estepa,356600800400197934,330108.7,5259583.2,2.54,0.0039452454,0.007906107,0.1462862491607666,0.07734920084476471,-0.20500746369361877,-0.16490310430526733
Estepa,356600800400197935,330156.6,5259552.6,2.24,0.031902384,0.064845376,0.14176584780216217,0.0750972107052803,-0.2108011245727539,-0.17636734247207642
Estepa,356600800400197936,330204.3,5259522.1,3.59,0.08263509,0.1725047,0.15788587927818298,0.08083394169807434,-0.2238115668296814,-0.18414855003356934
Estepa,356600800400197937,330252.1,5259491.6,2.2,0.018220449,0.036777183,0.14889901876449585,0.0731361135840416,-0.2284153252840042,-0.19102492928504944
Estepa,356600800400197938,330299.9,5259461.0,2.2,0.03324584,0.06762281,0.1669466197490692,0.08070721477270126,-0.22489744424819946,-0.1863700896501541
Estepa,356600800400197939,330347.9,5259430.4,2.65,0.051861387,0.106510945,0.14729654788970947,0.07538305222988129,-0.20464414358139038,-0.17858722805976868
