archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072114,-42.767441,-71.129908,325738.2,5262810.0,3042.6543,0,0,0.8249446,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072115,-42.767154,-71.129331,325784.7,5262843.1,3043.2617,0,0,0.90507436,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072116,-42.766868,-71.128753,325831.1,5262876.1,3043.022,0,0,0.82632804,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072117,-42.766581,-71.128176,325877.5,5262909.1,3042.7139,0,0,0.8592694,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072118,-42.766293,-71.127594,325924.3,5262942.3,3048.2483,0,0,0.9392285,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072119,-42.765997,-71.126990,325973.0,5262976.4,3079.9333,0,0,0.93405807,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072120,-42.765721,-71.126443,326016.9,5263008.2,3042.7231,0,0,0.879411,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072121,-42.765422,-71.125828,326066.4,5263042.7,3087.2346,0,0,0.9398823,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072122,-42.765135,-71.125250,326112.9,5263075.8,3088.2542,0,0,0.863291,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072123,-42.764840,-71.124647,326161.4,5263109.8,3117.9612,0,0,0.9146723,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072124,-42.764560,-71.124091,326206.1,5263142.0,3092.4285,0,0,0.8715198,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072125,-42.764265,-71.123489,326254.5,5263176.0,3121.6743,0,0,0.888965,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072126,-42.763978,-71.122909,326301.2,5263209.1,3124.7207,0,0,0.88422513,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072127,-42.763700,-71.122359,326345.4,5263241.1,3092.081,0,0,0.8887391,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072128,-42.763410,-71.121770,326392.8,5263274.5,3105.6406,0,0,0.9143272,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072129,-42.763117,-71.121175,326440.7,5263308.2,3126.9268,0,0,0.91436684,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072130,-42.762829,-71.120592,326487.6,5263341.5,3133.665,0,0,0.92844915,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072131,-42.762542,-71.120017,326533.9,5263374.4,3131.7737,0,0,0.93470395,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072132,-42.762259,-71.119450,326579.4,5263407.0,3119.0217,0,0,0.92647505,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072133,-42.761973,-71.118873,326625.8,5263440.0,3118.7107,0,0,0.937016,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072134,-42.761680,-71.118278,326673.7,5263473.8,3139.9092,0,0,0.9319709,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072135,-42.761390,-71.117690,326721.0,5263507.2,3153.5818,0,0,0.934116,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072136,-42.761100,-71.117102,326768.3,5263540.6,3166.3672,0,0,0.94207364,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072137,-42.760814,-71.116526,326814.7,5263573.6,3165.4834,0,0,0.9182951,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072138,-42.760536,-71.115977,326858.8,5263605.5,3131.7778,0,0,0.9051023,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072139,-42.760251,-71.115405,326904.9,5263638.4,3127.11,0,0,0.9390529,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072140,-42.759965,-71.114828,326951.3,5263671.4,3127.1248,0,0,0.9211165,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072141,-42.759700,-71.114317,326992.3,5263701.8,3048.2153,0,0,0.8769751,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072142,-42.759415,-71.113744,327038.4,5263734.6,3044.001,0,0,0.89780337,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072143,-42.759128,-71.113167,327084.8,5263767.7,3044.455,0,0,0.714617,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072144,-42.758842,-71.112591,327131.2,5263800.7,3044.1367,0,0,0.35090992,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072145,-42.758555,-71.112014,327177.6,5263833.7,3044.0684,0,0,0.8074827,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072146,-42.758269,-71.111438,327223.9,5263866.7,3043.6616,0,0,1.977042,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072147,-42.757982,-71.110861,327270.4,5263899.7,3044.0925,0,0,2.0599809,0.0,0.0,0.0,0.0,0.0
GEDI02_A_2025053014915_O35100_01_T00318_02_004_02_V003.h5,BEAM0110,351000600100072148,-42.757695,-71.110284,327316.8,5263932.7,3044.0488,0,0,0.5518253,0.0,0.0,0.0,0.0,0.0
