shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV
334320200400263239,BOSQUE_NW_02,bosque,-42.666531,-71.559467,290251.7,5273039.1,entrenamiento,8.57,3.29,1.7416021,0.58118767,2.2080333,12.59,8.322918,13.107629,DBT_SA,hoja_caida,1,0.85236,0.51672,0.28134,0.57588,-15.185,-9.763,-12.528,-17.423,-6.812,-11.687,-7.689,-11.630
334320200400263242,BOSQUE_NW_02,bosque,-42.667393,-71.557748,290395.4,5272947.6,entrenamiento,5.2,0.71,0.40353653,0.18269958,1.8014998,7.09,0.744097,13.116389,DBT_SA,hoja_caida,1,0.82940,0.48823,0.24895,0.55123,-14.602,-9.204,-11.269,-16.492,-6.685,-11.883,-6.203,-10.612
334320200400263243,BOSQUE_NW_02,bosque,-42.667680,-71.557177,290443.2,5272917.2,entrenamiento,7.03,1.45,0.9489502,0.37771368,1.9929897,11.25,3.0011106,13.110904,DBT_SA,hoja_caida,1,0.81857,0.46165,0.22936,0.53025,-14.928,-9.656,-12.472,-17.842,-6.323,-11.593,-7.083,-11.155
334320200400263258,BOSQUE_NW_02,bosque,-42.672004,-71.548522,291167.0,5272458.4,entrenamiento,3.59,-0.18,0.025610695,0.012723634,1.4204875,13.02,,,,,,0.83554,0.48947,0.26107,0.55704,-14.750,-9.046,-11.933,-16.557,-6.855,-12.189,-6.235,-10.886
334320200400263262,BOSQUE_NW_02,bosque,-42.673152,-71.546233,291358.4,5272336.6,entrenamiento,20.36,12.8,2.340916,0.68947953,2.9584754,9.91,99.5137,13.0885105,DBT_SA,hoja_caida,1,0.91449,0.52421,0.36365,0.67289,-15.702,-8.953,-11.034,-15.487,-5.818,-10.998,-5.660,-10.136
334320200400263263,BOSQUE_NW_02,bosque,-42.673439,-71.545665,291405.9,5272306.2,entrenamiento,21.41,8.94,1.6216419,0.5553304,3.0413728,9.44,83.00406,13.087251,DBT_SA,hoja_caida,1,0.83988,0.47433,0.29334,0.58815,-15.360,-9.013,-11.733,-15.864,-5.449,-10.940,-5.921,-9.598
334320200400263270,BOSQUE_NW_02,bosque,-42.675452,-71.541645,291742.1,5272092.5,entrenamiento,7.03,2.76,1.6587592,0.5634974,2.009572,13.37,4.718902,13.112331,DBT_SA,hoja_caida,1,0.86766,0.49821,0.27912,0.59002,-15.599,-9.318,-11.391,-16.137,-6.343,-11.891,-6.251,-10.786
334320200400263272,BOSQUE_NW_02,bosque,-42.676030,-71.540486,291838.9,5272031.2,entrenamiento,23.16,14.44,4.8208528,0.90959513,3.0872579,16.74,133.29118,13.085519,DBT_SA,hoja_caida,1,0.86134,0.49605,0.31848,0.62348,-15.211,-9.118,-10.679,-16.176,-6.094,-11.824,-5.471,-10.541
334320200400263274,BOSQUE_NW_02,bosque,-42.676608,-71.539327,291935.8,5271969.8,entrenamiento,18.82,12.8,3.283105,0.8058789,2.9269557,13.73,89.91074,13.091421,DBT_SA,hoja_caida,1,0.87839,0.51001,0.34140,0.63077,-15.026,-8.385,-10.441,-15.858,-5.666,-10.935,-5.812,-9.877
334320200400263275,BOSQUE_NW_02,bosque,-42.676898,-71.538746,291984.4,5271939.1,entrenamiento,13.54,8.3,4.7411213,0.90595174,2.550398,16.14,39.291332,13.098402,DBT_SA,hoja_caida,1,0.87186,0.50341,0.31987,0.61069,-15.324,-9.189,-10.822,-16.251,-6.049,-11.069,-6.271,-10.626
334320200400263277,BOSQUE_NW_02,bosque,-42.677472,-71.537606,292079.8,5271878.2,entrenamiento,25.9,18.9,4.37387,0.8871585,3.195532,14.46,188.85788,13.087174,DBT_SA,hoja_caida,1,0.86870,0.50830,0.33298,0.62339,-15.569,-9.746,-11.522,-17.033,-6.484,-11.865,-6.478,-11.328
334320200400263279,BOSQUE_NW_02,bosque,-42.678050,-71.536450,292176.4,5271816.8,entrenamiento,21.59,11.22,2.5631218,0.7220645,3.091517,19.18,,,,,,0.84613,0.48138,0.29670,0.58706,-15.972,-9.650,-11.726,-16.021,-6.494,-11.752,-6.691,-11.909
334320200400263280,BOSQUE_NW_02,bosque,-42.678340,-71.535869,292225.0,5271786.1,entrenamiento,27.28,14.97,4.429812,0.8902489,3.2570028,19.46,168.84703,13.084018,DBT_SA,hoja_caida,1,0.88861,0.54978,0.38454,0.67189,-16.354,-9.834,-11.341,-15.794,-6.126,-11.719,-5.825,-11.009
334320200400263281,BOSQUE_NW_02,bosque,-42.678630,-71.535285,292273.8,5271755.3,entrenamiento,16.88,2.2,0.9954691,0.39201266,2.9106252,17.52,,,,,,0.83210,0.45344,0.26985,0.57393,-16.090,-10.241,-11.287,-15.636,-6.028,-11.898,-5.614,-10.728
