archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,pai,fhd_normal,cover,l2b_quality_flag_rel3
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033892,-42.709112,-71.079629,329692.4,5269390.2,0.23960139,1.6502973,0.11289561,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033893,-42.709399,-71.079054,329740.3,5269359.4,0.2345689,1.3044488,0.110660926,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033894,-42.709686,-71.078482,329787.9,5269328.7,0.13601042,1.7767985,0.065742,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033895,-42.709973,-71.077909,329835.6,5269297.9,0.07616938,1.347623,0.03736782,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033896,-42.710259,-71.077338,329883.1,5269267.3,0.0993441,1.351152,0.048457276,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033897,-42.710546,-71.076766,329930.8,5269236.7,0.21078774,1.5096849,0.10002442,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033898,-42.710833,-71.076193,329978.5,5269205.9,0.12325135,1.4753822,0.059763253,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033899,-42.711120,-71.075620,330026.2,5269175.2,0.011616596,1.4922538,0.0057914443,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033900,-42.711407,-71.075047,330073.9,5269144.5,0.09888496,1.7217934,0.048238818,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033901,-42.711694,-71.074474,330121.6,5269113.8,0.07696361,1.6849735,0.03775001,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033902,-42.711981,-71.073899,330169.5,5269083.0,0.062858365,1.440205,0.030939898,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033903,-42.712267,-71.073331,330216.8,5269052.5,0.057829555,1.6768304,0.028500302,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033904,-42.712552,-71.072762,330264.2,5269022.0,0.09852552,1.4812874,0.04806776,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033905,-42.712837,-71.072191,330311.7,5268991.4,0.07508822,1.3668274,0.036847323,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033906,-42.713123,-71.071620,330359.2,5268960.8,0.055838663,1.4687452,0.027532775,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033907,-42.713409,-71.071050,330406.7,5268930.2,0.051854692,1.4021944,0.025593761,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033908,-42.713695,-71.070479,330454.3,5268899.6,0.16018352,1.4419286,0.076965064,1
GEDI02_B_2024296191058_O33203_04_T06235_02_004_01_V003.h5,BEAM0110,332030600401033909,-42.713981,-71.069908,330501.8,5268869.0,0.08250788,1.47408,0.04041368,1
