shot_number,rh95,fuente,gamma0_dB
356600300400192605,21.23,S1 VH,-15.224
356600300400192606,21.75,S1 VH,-15.435
356600300400192607,19.92,S1 VH,-15.717
356600300400192608,23.66,S1 VH,-15.662
356600300400192609,24.34,S1 VH,-15.402
356600300400192610,20.44,S1 VH,-15.976
356600300400192611,26.36,S1 VH,-15.739
356600300400192612,20.26,S1 VH,-16.008
356600300400192616,20.03,S1 VH,-17.23
356600300400192622,10.93,S1 VH,-17.555
356600500400192354,2.24,S1 VH,-18.468
356600500400192356,7.48,S1 VH,-16.774
356600500400192357,4.0,S1 VH,-16.546
356600500400192358,3.22,S1 VH,-16.246
356600500400192359,4.08,S1 VH,-16.264
356600500400192360,3.66,S1 VH,-16.296
356600500400192361,4.23,S1 VH,-16.023
356600500400192362,4.49,S1 VH,-16.428
356600500400192363,4.34,S1 VH,-16.76
356600500400192364,4.94,S1 VH,-17.074
356600500400192378,3.18,S1 VH,-15.741
356600500400192379,2.73,S1 VH,-16.096
356600500400192382,5.91,S1 VH,-16.476
356600500400192383,7.52,S1 VH,-16.117
356600500400192384,3.33,S1 VH,-15.242
356600500400192385,4.11,S1 VH,-14.979
356600500400192386,2.8,S1 VH,-15.685
356600500400192387,3.29,S1 VH,-16.574
356600500400192388,4.56,S1 VH,-16.631
356600500400192389,5.91,S1 VH,-15.737
356600500400192390,6.59,S1 VH,-15.456
356600500400192391,4.04,S1 VH,-15.674
356600500400192392,5.46,S1 VH,-15.312
356600500400192393,6.92,S1 VH,-14.983
356600500400192394,5.72,S1 VH,-15.079
356600500400192395,7.11,S1 VH,-15.708
356600500400192396,5.13,S1 VH,-16.857
356600500400192421,3.4,S1 VH,-14.595
356600500400192422,4.23,S1 VH,-14.469
356600500400192423,5.61,S1 VH,-14.756
356600500400192424,4.04,S1 VH,-14.986
356600500400192425,4.64,S1 VH,-14.392
356600500400192426,3.18,S1 VH,-14.058
356600500400192427,4.23,S1 VH,-14.639
356600500400192428,3.93,S1 VH,-14.863
356600500400192429,4.19,S1 VH,-14.413
356600500400192430,3.25,S1 VH,-13.956
356600500400192431,3.07,S1 VH,-14.647
356600500400192434,2.65,S1 VH,-14.902
356600500400192435,4.19,S1 VH,-14.876
356600500400192436,2.8,S1 VH,-15.056
356600500400192437,22.84,S1 VH,-14.767
356600500400192438,26.28,S1 VH,-15.058
356600500400192439,24.11,S1 VH,-15.086
356600500400192440,11.42,S1 VH,-14.374
356600500400192441,2.32,S1 VH,-14.568
356600500400192442,2.47,S1 VH,-14.8
356600500400192443,2.95,S1 VH,-14.159
356600500400192444,7.48,S1 VH,-14.548
356600500400192445,2.92,S1 VH,-15.259
356600500400192446,2.32,S1 VH,-14.515
356600500400192447,2.58,S1 VH,-14.417
356600500400192448,2.54,S1 VH,-14.626
356600500400192449,4.11,S1 VH,-14.871
356600500400192450,3.4,S1 VH,-14.931
356600500400192451,2.54,S1 VH,-14.612
356600500400192452,2.8,S1 VH,-14.592
356600500400192453,3.48,S1 VH,-14.854
356600500400192454,18.31,S1 VH,-15.354
356600500400192455,5.2,S1 VH,-16.173
356600500400192456,2.28,S1 VH,-16.164
356600500400192457,20.52,S1 VH,-16.534
356600500400192458,23.32,S1 VH,-15.538
356600500400192459,22.87,S1 VH,-15.289
356600500400192460,23.1,S1 VH,-14.87
356600500400192461,19.8,S1 VH,-15.299
356600500400192462,2.09,S1 VH,-16.043
356600500400192463,5.46,S1 VH,-17.196
356600500400192464,3.7,S1 VH,-17.329
356600500400192465,4.68,S1 VH,-16.758
356600500400192466,4.04,S1 VH,-16.395
356600500400192467,2.5,S1 VH,-15.369
356600500400192468,3.14,S1 VH,-14.943
356600500400192469,12.5,S1 VH,-15.018
356600500400192470,21.04,S1 VH,-15.706
356600500400192471,19.13,S1 VH,-15.765
